river_mouth,mean,min,max,se,std,li_mean,li_min,li_max,li_se,li_std,lo_mean,lo_min,lo_max,lo_se,lo_std,hi_mean,hi_min,hi_max,hi_se,hi_std
36,133.186669672005,0,196.164437442962,45.1387834771892,90.2775669543784,172.153807372508,0,196.164437442962,1.84352820493969,20.6935527772161,175.441115977486,0,196.164437442962,1.99765018182024,25.0304850348819,NaN,NaN,NaN,NaN,NaN
37,409.27304966874,333.31419116909,447.667950828638,37.9801867440355,65.7836131216234,408.15193437796,333.31419116909,447.667950828638,5.38226441882048,54.3582060774479,408.15193437796,333.31419116909,447.667950828638,5.38226441882048,54.3582060774479,NaN,NaN,NaN,NaN,NaN
38,383.385521862681,332.410002040025,434.361041685337,50.9755198226557,72.0902714822183,384.493685337087,332.410002040025,434.361041685337,5.34242361235888,51.2427271420819,384.493685337087,332.410002040025,434.361041685337,5.34242361235888,51.2427271420819,NaN,NaN,NaN,NaN,NaN
39,276.195240879332,0,427.707519793753,15.8793328660212,86.9746880885298,288.222515559322,0,427.707519793753,2.63072999020072,59.874397414378,284.079315658252,0,427.707519793753,2.0310036763156,55.2492732130799,317.226545879073,297.996065675679,320.517110638258,3.20589422241448,8.4819988420875
41,101.916988953601,29.7710779339441,193.130416552725,8.75709073757869,40.130031172551,109.606352266398,29.7710779339441,193.130416552725,1.58026090903273,39.0615436755507,113.626781511564,29.7710779339441,193.130416552725,1.92447167475974,42.2508103045509,94.5842833038373,69.415999769035,135.65899010782,1.45987837410835,16.5810309651545
42,297.316676661807,165.028809399811,507.573185208013,24.316166185367,84.2336705566878,293.431088316881,165.028809399811,507.573185208013,4.95606065200792,91.2507540033683,297.023054179268,165.028809399811,507.573185208013,6.15925688643824,101.581066872391,278.848779144207,276.364637708371,280.63226530327,0.259090246005652,2.12074506330748
44,467.963068956942,63.4561427760058,922.783081421377,11.9781292194917,136.045395983291,469.704431092816,63.4561427760058,922.783081421377,1.89847116247398,119.044890321502,484.117821403106,63.4561427760058,922.783081421377,2.02272160088246,110.029362055625,425.871726130694,80.7690259695958,787.07800064064,4.29099173799378,133.848681812529
45,215.70859018729,129.163626166988,296.711830666395,15.1744351663776,54.7122040685785,234.437192800386,129.163626166988,296.711830666395,2.41858585283068,47.8244392884796,231.619363857932,129.163626166988,296.711830666395,2.48704427784998,47.7745604852096,281.699869153375,281.699869153375,281.699869153375,2.48085018752127e-14,1.16362188173107e-13
47,471.627890558443,99.3908639621462,846.223941714763,26.3713050880557,156.014744885398,448.372667960663,99.3908639621462,846.223941714763,4.25419170904675,127.341822663258,460.868674460591,99.3908639621462,846.223941714763,4.41012684862237,117.594194506737,400.34747541229,133.504215570177,707.021644029166,11.0513644979301,150.314808299883
49,325.893066054224,254.002561707953,420.050280938804,10.0880326322902,45.115053450074,322.850562053533,254.002561707953,420.050280938804,1.75822552950116,42.9957148275105,328.291559662916,254.002561707953,420.050280938804,1.76787204814393,40.9291969886317,275.812260140159,254.002561707953,359.4859313094,3.79094587023045,29.8499376321471
